id,JUST_IND,JUST_100,WGT_SCORE,PAY,TREAT,SUPPLY,COMM,JOBS,PROD,CUST,LEAD,ENV,INVEST,PAY.LIVING,PAY.PTO,PAY.HEALTH,PAY.FAIR,PAY.RETIRE,PAY.DISC,PAY.CEO,TREAT.SAFE,TREAT.WLB,TREAT.EDU,TREAT.DISC,TREAT.LAYOFF,TREAT.RESPECT,SUPPLY.ABUSE,SUPPLY.CONFLICT,SUPPLY.REPRESS,COMM.RELS,COMM.CHARITY,JOBS.US,PROD.BEN,PROD.QUAL,CUST.FAIR,CUST.RELS,CUST.DISC,CUST.PRIV,LEAD.LAWS,LEAD.INTEGRITY,LEAD.TRUTH,LEAD.TAX,LEAD.POLITICS,ENV.POLLUTION,ENV.MGMT,ENV.EFFICIENT,INVEST.ACCURATE,INVEST.PROFIT,INVEST.RETURN
1,1,No,51.81744924,62.26483073,58.01490235,59.8681728,54.22166751,103.9318685,26.16161777,38.2234984,19.70461065,62.51692715,52.58824137,23.66629616,63.01381056,64.97658909,83.21917418,44.20346388,84.29780293,56.40436274,51.28217073,38.44836699,60.69471203,62.32013451,50,67.18899208,62.88746781,68.73824196,47.45343954,57.80937902,43.07444708,103.9318685,73.70701541,-14.27068889,50,17.44039124,50,33.03866163,2.167740298,70.92228264,-93.6762233,92.42754404,79.63397005,48.67567417,54.65372313,87.66081817,35.34802582,85.92450619,61.82862467
2,1,Yes,60.21451841,64.06646711,65.88875051,62.77728588,85.09984639,34.34549425,74.04353887,47.43500727,56.17819606,62.77934872,42.55647893,46.53503897,63.01381056,86.91261063,70.9512807,84.58999744,84.29780293,24.26155714,65.01452618,86.34336175,81.86009541,62.32013451,50,67.57778772,67.50867397,63.58202121,54.66672794,57.12948142,172.0053356,34.34549425,86.20376765,63.70255691,50,39.76167526,50,48.68890674,55.93094467,47.56944558,54.22577127,73.79946504,60.97554446,46.51313072,62.652554,81.37692194,35.34802582,46.83767578,64.34278854
5,1,No,50.08491092,53.25742937,62.47665273,55.20568429,56.94630953,42.49772811,75.95793496,46.51398816,35.33630125,13.44253526,36.84521985,46.53503897,35.40875786,40.11433492,73.62414602,54.94264373,45.57447704,41.80963831,60.43707436,45.02375317,71.27740372,62.32013451,50,71.17191933,59.13737176,48.71644676,54.66672794,61.41094184,43.07444708,42.49772811,90.36935173,63.70255691,50,24.18161586,50,57.23372291,-11.05369286,68.5336175,54.22577127,54.1296309,69.75598004,8.109127078,13.34914168,19.60262109,35.34802582,28.43182974,58.63465335
7,1,No,52.56724333,47.37642457,58.97503013,46.85758424,56.94630953,50,54.71723176,53.19145607,49.9978949,51.85513081,62.60541412,69.40378178,49.21128421,55.01175773,23.83015486,70.23612839,45.57447704,51.28174719,65.01452618,31.72363488,62.77345504,62.32013451,50,57.36222882,32.45415418,63.89498068,54.66672794,61.41094184,43.07444708,50,44.15115497,63.70255691,50,55.34173465,50,57.23372291,55.93094467,32.29371884,54.22577127,59.41575847,71.95108893,43.63035908,62.652554,48.2074157,67.39921933,48.59957309,68.8261467
9,1,No,50.79878045,47.99052921,53.69238654,45.46343184,37.31056344,50,33.42310689,53.19145607,55.79446654,55.75389229,56.03892629,69.40378178,35.40875786,31.61731405,88.1284367,48.97311051,45.57447704,-69.81264306,46.70471891,48.86450222,15.97738892,62.32013451,50,63.87703594,40.30010663,44.17853455,54.66672794,35.45546854,43.07444708,50,27.09211619,38.8069415,50,55.34173465,50,57.23372291,55.93094467,61.40771038,54.22577127,48.2122122,50,68.23839233,44.91155985,54.62521569,67.39921933,13.97027735,87.25679386
11,1,Yes,58.31497735,68.96614521,58.31731207,60.637889,56.94630953,50,72.4482088,46.51398816,52.42067402,52.24913246,34.72657268,69.40378178,35.40875786,75.38084595,85.76276541,85.14982258,45.57447704,58.00453413,51.28217073,66.5201327,55.40336619,62.32013451,50,63.18208914,65.41646013,58.88762928,54.66672794,61.41094184,43.07444708,50,82.73244759,63.70255691,50,24.18161586,50,57.23372291,55.93094467,48.90525227,54.22577127,53.5020826,23.65869329,44.99185489,62.652554,47.97775448,35.34802582,34.05854825,33.40312267
12,1,Yes,61.05727922,74.58954696,59.83826025,50.89563655,56.94630953,50,44.64387099,53.19145607,59.01898214,53.49912467,65.76079077,69.40378178,63.01381056,69.71386416,102.913175,69.68942415,45.57447704,62.44720028,51.28217073,58.07218489,15.97738892,62.32013451,50,81.84170857,46.57919501,54.34971708,54.66672794,61.41094184,43.07444708,50,22.2322681,63.70255691,50,55.34173465,50,57.23372291,55.93094467,70.3123115,54.22577127,58.5636402,18.17092105,61.60593943,44.91155985,54.62521569,67.39921933,73.13392099,45.31941672
14,1,Yes,58.45003739,64.29265956,61.19704251,52.27758028,56.94630953,50,66.70502053,53.19145607,53.37347438,47.82360446,56.61078475,69.40378178,63.01381056,68.12898725,73.56410895,78.712231,45.57447704,47.39869682,55.85962254,70.68158876,71.27740372,62.32013451,50,64.8072546,46.57919501,59.82650767,54.66672794,61.41094184,43.07444708,50,70.23569534,63.70255691,50,55.34173465,50,57.23372291,55.93094467,54.00814301,54.22577127,43.02215067,66.4633167,38.63958252,62.652554,40.41932695,67.39921933,53.03735131,18.74512589
17,1,No,51.13817936,46.1566217,55.14233783,60.32201615,37.31056344,50,47.51546512,46.46638309,52.81577081,55.41901719,58.21404145,23.66629616,63.01381056,50,49.85789826,60.82963456,45.57447704,61.67834029,55.85962254,36.25161323,62.77345504,62.32013451,50,50.51117816,65.41646013,57.63579143,54.66672794,35.45546854,43.07444708,50,28.48064422,63.70255691,50,55.34173465,50,33.46561295,55.93094467,53.75684926,54.22577127,42.72022882,50,68.86805319,52.00795751,44.26712375,67.39921933,44.26725504,46.2127174
18,1,No,52.64588558,46.99732885,56.85704231,51.62923258,58.87494998,50,48.79172918,53.19145607,54.46818491,55.51290558,58.5182352,46.53503897,63.01381056,57.86212124,45.90349474,10.01596004,45.57447704,54.1434242,46.70471891,56.41369691,71.27740372,62.32013451,50,60.33512564,52.85828338,45.8998116,54.66672794,61.41094184,50.99548133,50,31.25770027,63.70255691,50,55.34173465,50,57.23372291,55.93094467,48.45317991,54.22577127,63.02010649,50,55.72232566,55.55615634,55.22346148,67.39921933,47.8862097,41.6198035
